Up or Down,open,high,low,close,Consensus Estimate Revenue,Actual Revenue,Retained Earnings,Consensus Estimat Earnings Per share,Earnings Per Share,return on Assets,Gross Profit,Net Income,Gross Margin,Profit Margin,Working Capital,Current Ratio (CA/CL),Debt-To-Assets Ratio
1,80.18000031,91.75,79.77999878,88.08999634,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,87.31999969,88.48000336,86.09999847,87.25,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,86.27999878,88.25,84.54000092,86.69000244,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,85.70999908,88.75,85.22000122,88.02999878,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,88.27999878,89.52999878,86.26000214,86.40000153,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,86.08999634,86.27999878,83.04000092,83.11000061,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,83.08999634,83.51000214,81.05999756,81.29000092,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,82,83.25,81.19999695,82.12999725,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,81.41000366,83.76999664,80.98000336,83.26000214,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,84.26999664,85.45999908,83.93000031,85.26000214,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,84.62999725,84.63999939,82.44999695,82.84999847,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,82.73999786,83.12000275,81.25,81.76000214,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,81.44000244,82.73999786,81,81.73000336,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,82.20999908,83.65000153,81.80000305,83.41999817,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,82.90000153,82.90000153,80.5,80.80999756,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,83.16000366,84.5,81.20999908,81.41000366,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,81.40000153,82,80.01999664,80.76999664,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,80.59999847,80.80999756,78.01999664,78.02999878,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,77.33999634,80.72000122,77.08000183,79.19000244,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,82.25,83.75,78.84999847,81.16000366,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,80.76000214,81.95999908,78.98999786,79.04000092,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,80.01000214,80.22000122,76.15000153,76.73999786,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,75.26999664,79.80000305,75.09999847,79.51000214,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,78.80999756,79.59999847,76.62000275,78.30000305,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,76.86000061,79.87999725,76.30000305,77.33999634,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,76.80000305,79.62999725,76.66999817,78.73000336,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,77.68000031,78.23999786,71.23999786,71.54000092,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,73.08000183,77.5,70.08000183,76.5,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,80.12000275,86.76999664,76.5,81,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,81.12999725,81.62999725,74.31999969,74.93000031,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,75.79000092,76.29000092,70.76999664,71.76000214,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,72.30000305,73.65000153,68.94000244,69.95999908,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,70.66000366,72.75,70.01000214,72.08000183,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,69.51999664,71.05000305,68.08000183,70.69999695,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
0,68.41000366,69.37000275,61.31999969,63.34999847,3958.471,4063,-1375,0.263,0.37,8.775811,23.800148,207,23.800148,3.888752,1450,1.390414647,0.8154202
1,65.83999634,73.12000275,65.31999969,72.76000214,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,71.77999878,71.98999786,68.41000366,69.58000183,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,67.62999725,68.95999908,65.41000366,67.36000061,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,69.41999817,70.94999695,66.58999634,67,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
0,64.05999756,65.88999939,60.47000122,65.23000336,4279.526,4264,-1232,0.246,0.27,10.645432,23.428705,143,23.428705,2.767355,414,1.116586877,0.750127486
