Open,High,Low,Close,Volume,Accumulation Distribution Line,MACD,Chaikan Oscillator (CHO),Highest closing price (5 days),Lowest closing price (days),Stochastic %K (5 days),%D,Volume Price Trend (VPT),Williams %R (14 days),Relative Strength Index,Momentum (10 days),Price rate of change (PROC),Volume rate of change (VROC),On Balance Volume (OBV)
28.52,29.32,28.51,28.76,986300,-1626496.329,0.734319322,-2368513.701,30.280001,28.52,30.27521547,61.34881442,-878416.6169,-31.93278741,56.24312845,0.559999,10.78582861,-20.08588559,24472600
29.950001,31.5,29.5,30.129999,6209200,-776826.7336,0.816954802,-2362390.932,31.5,28.52,56.08972561,47.84751425,-831433.654,-22.90971572,62.00969939,2.16,14.34534725,751.1583276,30681800
30.1,30.129999,28.26,28.700001,2331100,-1098433.325,0.758313758,-2247452.721,31.5,28.52,13.58027778,33.31507295,-1126128.107,-46.82272575,54.00884882,1.880001,1.773049583,-12.20293021,28350700
28.940001,29.389999,28.26,28.370001,1222100,-1725619.116,0.677403383,-2195677.775,31.5,28.370001,3.395092593,24.35503199,-1152931.695,-52.3411204,52.33082805,1.650002,1.430110884,45.05637982,27128600
28.440001,28.6,27.02,27.120001,1695900,-2387672.892,0.506577266,-2185543.52,31.5,27.120001,2.232165179,6.40251185,-1206778.186,-82.17634146,46.44446393,-1.859999,1.118571961,96.37563687,25432700
27.43,28.1,27.1,27.620001,1603200,-1354840.581,0.40685222,-1654083.451,31.5,27.120001,13.39287946,6.340045745,-1175511.594,-72.79547842,48.91954239,-1.859999,3.368271084,161.2351312,27035900
27.52,28.299999,27.35,27.860001,1566600,137518.1494,0.343228868,-811455.3308,30.129999,27.120001,27.00968714,14.21157726,-1161580.82,-68.29266417,50.1113664,-1.689998,-3.864730849,-66.61907907,28602500
28.07,28.879999,27.879999,28.43,1713400,244730.3698,0.334940079,-358862.1815,29.389999,27.120001,59.49369599,33.2987542,-1129529.119,-57.59849906,52.92089272,-1.709999,-3.561736771,-48.65294135,30315900
28.540001,29.700001,28.52,28.6,1573400,-1169513.477,0.338190285,-591073.2826,29.700001,27.120001,58.95520188,48.486195,-1119283.674,-54.40900563,53.757331,0.08,-3.214886742,-6.739375259,31889300
28.440001,28.450001,27.07,27.32,1345000,-2105947.66,0.234774461,-930291.1292,29.700001,27.32,9.505699808,42.65153256,-1189701.576,-93.30357143,46.98810052,-1.44,-9.356334086,-59.12475308,30544300
27.67,28,25.74,26.5,1842200,-587717.8713,0.085662069,-501417.031,29.700001,26.5,19.19191435,29.21760535,-1230071.268,-86.80555556,43.23233189,-3.629999,-7.082748948,20.4130989,28702100
26.870001,27.700001,26.139999,26.5,1714000,-524046.3479,-0.032140085,-260126.0487,29.700001,26.5,19.19191435,15.96317617,-1230071.268,-86.80555556,43.23233189,-2.200001,-7.8581363,73.78079692,28702100
26.290001,26.459999,25.5,26.01,1537800,-637984.1318,-0.16315727,-174021.21,29.700001,26.01,12.14285425,16.84222765,-1261764.098,-91.5,40.96321647,-2.360001,-13.67407613,-75.23352445,27164300
26.24,27.73,26,27.530001,1496000,2179369.485,-0.142693079,773454.3029,28.450001,26.01,68.81356989,33.3827795,-1171896.45,-66.16665,49.77045306,0.41,-4.07665491,-35.82428896,28660300
27.370001,28.25,27.1,27.209999,1475600,943791.973,-0.150560974,697605.5951,28.25,26.01,62.18178182,47.71273532,-1189285.588,-71.50001667,48.14214739,-0.410002,-4.08883313,20.74298339,27184700
27.200001,27.719999,26.209999,27.709999,1170000,575109.2447,-0.115123444,485849.747,28.25,26.01,80.3636,70.4529839,-1162170.556,-52.26782986,50.84802004,-0.150002,2.175508769,-31.01008314,28354700
27.639999,27.969999,27.26,27.57,3608500,832931.1282,-0.097215062,437088.4314,28.25,26.01,75.27272727,72.60603636,-1168081.737,-50.71429745,50.06038215,-0.86,-0.181031854,125.0810878,24746200
27.73,28.280001,27.309999,27.459999,1809400,-2172506.981,-0.090851422,-578870.4534,28.280001,27.209999,64.03501577,73.22378102,-1182479.22,-53.33336825,49.41272121,-1.140001,-1.435757307,15.49853185,22936800
27.790001,28.25,27.67,28.110001,889200,-1081570.514,-0.032978309,-594749.2619,28.280001,27.209999,91.78744755,77.0317302,-1139649.153,-37.85713384,53.26074766,0.790001,-1.125568062,-48.10318665,23826000
28.5,29.09,28.07,28.290001,1461800,-648294.9694,0.027098669,-409316.623,29.09,27.459999,72.22226659,76.01490997,-1133955.236,-33.57142058,54.29750971,1.790001,-1.083912587,-7.092919792,25287800
28.5,29.33,28.4,29.129999,946700,-337413.2715,0.140867097,-197330.3101,29.33,27.459999,90.33811594,84.78261003,-1090550.887,-13.57147296,58.88132275,2.629999,6.625179356,-29.6133829,26234500
29.07,29.6,28.799999,29.02,854900,55774.76715,0.219621733,32435.76742,29.6,27.459999,74.67250014,79.07762756,-1094125.76,-16.19049615,58.06010185,3.01,9.509433962,-53.59352948,25379600
29.02,29.52,28.709999,29.139999,996000,-470702.7824,0.288393842,-44033.30911,29.6,28.110001,76.1657513,80.39212246,-1090590.71,-11.21953659,58.73622371,1.609998,9.962260377,-41.89031505,26375600
29.139999,29.139999,28.549999,28.959999,926900,58266.03713,0.324629609,96995.17571,29.6,28.290001,58.16986928,69.66937357,-1096743.079,-15.60978049,57.24542854,1.75,11.34178777,-39.725582,25448700
29.139999,30,29.01,29.73,1327900,691179.4037,0.410744554,347252.4293,30,28.959999,83.125,72.48687353,-1072098.26,-6,61.72125386,2.020001,7.991278315,-11.23663102,26776600
29.889999,29.889999,28.59,28.809999,1240600,-163788.8866,0.400142285,146026.6289,30,28.809999,17.93102212,53.07529713,-1113190.4,-26.44446667,54.39426729,1.239999,5.880191322,-15.92572513,25536000
28.4,28.530001,28,28.35,975800,-747597.3305,0.350580562,-135325.397,30,28.35,17.5,39.51867404,-1132998.619,-41.25,51.12622509,0.890001,2.309639203,-16.5982906,24560200
28.370001,29.09,28,28.17,1045400,-694512.9527,0.293395957,-221231.1604,30,28.17,8.5,14.64367404,-1139194.174,-48.28494768,49.86375867,0.059999,2.176278564,-71.02951365,23514800
28.43,29.030001,27.9,28.639999,1066000,-283712.0949,0.282742458,-105553.1397,30,28.17,35.23804762,20.41268254,-1121752.323,-35.88392193,53.11899227,0.349998,4.297159661,-41.08544269,24580800
